Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wsp[0]_36[23:0],ANC_SYSTEM/Wsp[1]_37[23:0],ANC_SYSTEM/Wsp[2]_38[23:0],ANC_SYSTEM/Wsp[3]_39[23:0],ANC_SYSTEM/Wsp[4]_40[23:0],ANC_SYSTEM/Wsp[5]_41[23:0],ANC_SYSTEM/Wsp[6]_42[23:0],ANC_SYSTEM/Wsp[7]_43[23:0],ANC_SYSTEM/Wsp[8]_44[23:0],ANC_SYSTEM/Wsp[9]_45[23:0],ANC_SYSTEM/Wsp[10]_46[23:0],ANC_SYSTEM/Wsp[11]_47[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
191,191,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
192,192,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
193,193,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
194,194,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
195,195,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
196,196,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
197,197,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
198,198,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
199,199,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
200,200,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
201,201,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
202,202,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
203,203,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
204,204,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
205,205,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
206,206,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
207,207,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
208,208,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
209,209,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
210,210,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
211,211,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
212,212,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
213,213,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
214,214,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
215,215,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
216,216,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
217,217,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
218,218,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
